INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at java.util.concurrent.FutureTask.run(FutureTask.java:266)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.048 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | INFO  [localhost-startStop-6] [TenantStartupNotifier] Using default implementation of TenantStartupNotifier for tenant <<master>>
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | INFO  [localhost-startStop-6] [TenantStartupNotifier] Instantiating de.hybris.platform.core.BlockingTenantStartupNotifier for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | >>> No SAP licenses found in the system. Trying fallback to hybris license.
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | INFO  [localhost-startStop-4] [TenantStartupNotifier] Using default implementation of TenantStartupNotifier for tenant <<master>>
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | INFO  [localhost-startStop-4] [TenantStartupNotifier] Instantiating de.hybris.platform.core.BlockingTenantStartupNotifier for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | Mar 22, 2019 5:55:28 PM org.apache.catalina.core.StandardContext filterStart
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | SEVERE: Exception starting filter [XSSFilter]
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | de.hybris.platform.servicelayer.exceptions.SystemException: Failed to create system shutdown token
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at de.hybris.platform.core.internal.ShutdownTokenFileCreator.writeShutdownTokenFile(ShutdownTokenFileCreator.java:65)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at de.hybris.platform.core.MasterTenant.<init>(MasterTenant.java:98)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at de.hybris.platform.core.Registry.getMasterTenant(Registry.java:872)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at de.hybris.platform.servicelayer.web.DefaultXSSFilterConfig.<init>(DefaultXSSFilterConfig.java:46)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at de.hybris.platform.servicelayer.web.XSSFilter.init(XSSFilter.java:169)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at org.apache.catalina.core.ApplicationFilterConfig.initFilter(ApplicationFilterConfig.java:285)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at org.apache.catalina.core.ApplicationFilterConfig.getFilter(ApplicationFilterConfig.java:266)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at org.apache.catalina.core.ApplicationFilterConfig.<init>(ApplicationFilterConfig.java:108)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at org.apache.catalina.core.StandardContext.filterStart(StandardContext.java:4637)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at org.apache.catalina.core.StandardContext.startInternal(StandardContext.java:5282)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at org.apache.catalina.util.LifecycleBase.start(LifecycleBase.java:150)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1421)
